Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Outstanding_Debt,Interest_Rate,Monthly_EMI,Missed_Payments
148,6061,Home,1899485,2489660,29.29,31221,4
149,3588,Personal,4440753,2559781,25.26,93655,2
150,8530,Business,2975607,2267669,11.06,7397,5
151,5145,Business,3566687,1967582,15.66,71797,10
152,2275,Business,758146,3575786,40.77,47381,6
153,2294,Education,794643,3452993,13.95,58523,10
154,4455,Business,1643569,899341,8.82,32651,6
155,1234,Business,476710,3094212,32.95,2479,2
156,3986,Home,1900359,2747861,38.5,75479,2
157,6008,Business,2101657,3416077,8.74,34508,9
158,925,Education,4956040,2031105,12.62,45133,7
159,745,Education,2355091,1866797,1.6,3520,9
160,8584,Car,2987563,216913,1.47,31183,11
161,7746,Education,4483168,1741324,2.74,42409,7
162,2248,Business,1260228,2125600,2.87,57472,0
163,7262,Personal,4194452,2791068,38.9,68229,1
164,303,Car,4010287,2186402,29.39,13830,1
165,3239,Education,2185244,33155,13.5,75228,2
166,8408,Car,1015332,576142,5.7,56533,7
167,2752,Home,2193588,3930398,47.6,63589,8
168,9460,Business,3472611,1032275,18.63,66335,7
169,3212,Business,954378,2524482,0.69,88737,8
170,3108,Car,4398160,3915260,0.8,26189,2
171,6123,Education,3890814,2603452,10.64,50016,11
172,4279,Personal,4486054,1625628,40.29,50112,11
173,334,Education,1683412,2056501,39.56,5557,8
174,2204,Car,1944120,1377832,1.18,8653,6
175,2603,Education,4436559,1334982,10.05,82551,1
176,9613,Car,2292524,2822283,36.88,23618,11
177,174,Business,1795583,846832,3.66,47095,9
178,7085,Business,604626,2084830,20.78,90948,3
179,9297,Business,2578588,1186406,48.03,72762,4
180,30,Car,2726609,3569190,28.93,49738,7
181,8624,Business,2401304,1121454,21.54,82144,8
182,7569,Home,558599,3511385,48.04,75231,5
183,9184,Personal,1060369,3157031,25.32,34976,9
184,9004,Car,4776880,3163098,30.09,44197,4
185,636,Business,1363765,3904679,25.62,93675,9
186,9811,Home,3958180,3598551,37.52,24670,6
187,2219,Education,1196318,2978640,16.62,44360,8
188,7744,Personal,3976605,2972063,7.6,50742,5
189,2865,Personal,792794,3203204,23.59,9061,0
190,109,Business,3976983,242236,36.63,4964,8
191,268,Car,1219655,243150,23.33,83226,2
192,6263,Car,2280849,424255,10.12,65180,6
193,4124,Home,2534307,2055839,7.49,24307,8
194,109,Car,3501289,3162327,48.55,64180,7
195,3046,Business,1207991,2891804,46.08,56898,11
196,3487,Personal,4298051,1680028,15.55,35813,11
197,6644,Personal,1705286,471680,48.17,25133,9
198,2571,Personal,1098263,3248567,30.98,25975,6
199,1932,Business,791479,915481,15.41,56125,6
200,215,Education,2680749,2264776,15.24,92058,0
201,1654,Business,3013461,156335,45.0,52110,4
202,8797,Personal,1507633,2390734,18.53,37519,5
203,9279,Personal,4880519,2057574,3.89,67820,1
204,3465,Car,80193,1001419,36.98,95359,2
205,6158,Personal,99710,125347,7.36,2430,7
206,992,Home,1644191,3752495,34.55,88443,0
207,2499,Business,1149778,2091605,34.63,32319,6
208,4992,Car,1201116,770935,28.52,10635,9
209,2567,Car,4693409,1456479,28.66,44872,1
210,3291,Education,4626383,3847387,17.51,93348,0
211,4887,Education,2033272,1700514,20.55,47498,8
212,906,Personal,4459718,3462705,6.05,56798,6
213,783,Home,269142,3877688,27.73,19598,11
214,1847,Home,2883941,992801,40.83,35245,2
215,6034,Car,1725294,1654019,1.51,47560,8
216,5146,Business,2832207,2642227,35.44,60816,8
217,8921,Education,2537890,1864274,6.71,59040,11
218,936,Car,4381538,365611,39.94,39012,8
219,2475,Education,4670334,3957285,0.05,32968,3
220,7939,Education,4805911,2701999,3.84,6699,7
221,8540,Home,176957,676890,41.1,84579,3
222,896,Car,3567489,898959,13.47,30914,3
223,8563,Home,2701644,1915625,44.69,61282,8
224,3410,Home,851296,3176824,39.06,95308,7
225,4078,Car,908657,2163558,32.06,85287,5
226,398,Business,3061881,1832814,14.99,37082,5
227,2483,Education,917309,289805,41.98,23913,4
228,32,Home,3458156,3285024,9.69,39159,8
229,811,Business,2180291,2380272,44.59,78901,11
230,518,Personal,473875,3136800,37.82,14302,11
231,5278,Car,1588071,1364175,17.42,26912,5
232,5254,Personal,2432995,2441364,8.72,82077,4
233,9940,Personal,4479806,2480429,22.09,71074,9
234,7554,Car,2300066,2976769,6.55,38521,6
235,3082,Education,2105347,3202901,24.26,88426,10
236,1085,Business,1572263,622789,11.34,94481,11
237,8705,Personal,2247348,3599142,0.22,47023,8
238,2338,Personal,555494,1538114,26.58,10055,4
239,804,Business,4085533,115561,15.0,76280,9
240,8360,Personal,1990021,1539711,30.56,4854,10
241,916,Car,4745286,1837273,15.64,87751,8
242,9440,Business,4266394,2894692,34.22,84884,9
243,5688,Home,2116936,2730180,33.34,85483,7
244,17,Home,4500571,1271968,1.25,69045,11
245,3751,Education,1784851,383853,34.43,83034,0
246,1494,Personal,3109044,59055,9.15,71493,0
247,133,Car,1097485,3083176,41.04,48822,7
248,2783,Business,1197294,3914902,5.95,51570,0
249,9234,Personal,3701381,1670451,12.37,19868,9
250,6213,Car,404078,3875710,28.68,8298,5
251,8254,Car,903151,1844731,20.98,10832,9
252,5447,Home,1233143,3315007,49.57,21126,11
253,2446,Home,4721846,2098479,35.98,99394,4
254,7262,Car,2175548,2909388,11.01,34551,4
255,4497,Personal,4780168,2940104,36.67,23750,10
256,397,Business,346877,2597346,17.81,22843,4
257,9023,Education,785349,1971132,1.13,2197,8
258,7319,Personal,4459776,402051,14.08,47066,8
259,2454,Car,1385089,208145,47.05,24497,8
260,1561,Business,1368512,3886466,6.41,65142,2
261,7980,Education,4617931,3929190,28.62,16853,5
262,7780,Car,4049664,2933229,48.88,16563,8
263,9109,Business,302495,115002,26.04,4671,1
264,7792,Business,4816437,3126732,16.51,82194,7
265,4078,Education,326906,3053899,29.93,3855,10
266,8989,Car,3664272,1761922,12.83,87127,6
267,5621,Home,3049581,358849,38.78,80510,9
268,2558,Personal,4138647,1565088,43.13,53342,10
269,8072,Education,4105531,3727372,17.61,28871,0
270,706,Personal,3829785,905731,38.65,54664,11
271,8372,Education,1063417,3534347,41.76,53251,4
272,2455,Home,676043,3707255,20.4,95211,4
273,1238,Personal,1269004,1358935,47.49,57223,5
274,6252,Business,4414965,2137751,34.49,97688,4
275,1660,Business,4732787,3910045,22.83,37872,5
276,7633,Personal,1985912,379047,30.53,30489,1
277,6312,Car,3747391,2668340,24.85,43842,4
278,8281,Business,1614227,3808200,8.25,26216,3
279,4121,Education,3628375,3077827,23.11,53907,9
280,2170,Car,3110279,3756470,27.88,16476,4
281,1597,Education,1096111,336139,8.03,84073,10
282,1352,Home,3415334,292360,44.58,8434,7
283,7536,Business,1250886,2032295,29.83,36182,5
284,134,Home,1950483,1896489,23.19,93905,1
285,3191,Car,4003730,1104331,39.22,42758,5
286,1559,Education,4044763,62565,38.31,66392,10
287,3151,Business,4897360,560341,19.35,73141,1
288,2006,Personal,4005405,3939644,22.34,54496,4
289,8868,Home,3084634,795085,23.48,18178,8
290,963,Business,2040173,1124694,7.44,58552,9
291,6573,Personal,4110775,3181367,36.25,85254,7
292,8585,Car,2432465,3837490,8.86,76708,5
293,8645,Personal,4368459,1691711,3.61,79791,4
294,5248,Car,826343,1747647,33.58,31711,1
295,12,Home,4894030,3657827,4.12,5107,9
296,7901,Personal,3789074,2924230,43.34,15575,2
297,4161,Education,3022977,3696249,16.56,8356,10
298,3809,Education,2075275,99829,11.64,71820,7
299,8725,Education,198803,1936962,21.39,70678,3
300,1726,Car,3841182,750869,24.15,12644,10
301,2651,Personal,3266871,1895113,7.1,88916,1
302,7852,Business,1554917,1260161,44.58,34388,0
303,8029,Personal,991694,3209034,8.88,36984,7
304,6109,Personal,4207254,2889091,25.53,73579,10
305,2509,Home,4848161,1543389,30.05,49162,2
306,9346,Business,3374261,1472117,32.54,61139,8
307,1679,Education,367016,1141568,25.46,86791,11
308,1752,Car,1414238,3780877,13.01,50979,7
309,7730,Business,1789257,729442,3.53,68084,11
310,3688,Education,3753866,2078058,47.17,56627,7
311,4789,Car,1646363,1089279,39.95,54903,5
312,6856,Business,4108022,66952,13.8,55733,2
313,4270,Car,4269207,1700514,5.1,77656,6
314,7534,Car,2672618,2768383,48.86,8439,11
315,7996,Education,1400874,1373493,43.87,34994,3
316,6270,Home,184770,2316436,30.52,77167,0
317,1152,Education,4714307,241071,25.85,85065,1
318,9388,Business,2834192,1589430,14.35,47344,0
319,4431,Education,4529914,2119339,17.55,73642,0
320,4272,Education,3543288,741848,43.33,96969,0
321,7390,Education,1881682,2792655,28.95,94593,8
322,5647,Business,2512941,3437734,44.83,64523,9
323,2726,Business,951370,3069351,43.35,97909,1
324,1928,Car,3970016,2685440,21.06,81079,7
325,8701,Car,4742408,902922,7.24,20784,5
326,6479,Business,4298433,418546,47.16,27571,11
327,7910,Car,1294719,2838603,40.2,91175,10
328,691,Education,2363503,1266662,18.29,88569,1
329,5412,Personal,1522057,61009,44.28,40965,7
330,5140,Personal,2133793,1574540,18.18,17626,3
331,6669,Car,580052,842983,32.45,58545,6
332,3628,Car,1300598,1815050,15.69,36705,7
333,1581,Home,239070,1835075,45.39,54692,5
334,6677,Education,3375041,3670331,1.91,48738,11
335,5999,Education,2882709,3998290,33.98,25670,10
336,407,Home,4510980,478445,9.59,40482,7
337,8750,Home,75530,2265145,4.76,51715,8
338,771,Personal,628434,1586429,29.07,47350,2
339,5725,Education,2376584,1520935,36.59,75275,2
340,3806,Education,1026870,3023109,49.57,5198,1
341,2496,Business,2087554,3576536,6.18,13617,1
342,2393,Education,3506528,3483399,11.52,95372,7
343,434,Personal,3060437,1525705,48.99,70519,10
344,1172,Personal,255208,134906,11.43,67725,8
345,7649,Home,2317024,3408067,31.05,7415,0
346,3222,Personal,3361542,1720119,33.39,92458,9
347,3453,Personal,3049197,2569356,40.46,71702,5
348,7470,Business,2776921,3694520,18.22,16971,8
349,4469,Personal,71186,2615573,6.52,25380,10
350,1050,Car,770822,3032757,2.37,89524,10
351,300,Car,2964895,660683,4.43,72545,4
352,8135,Home,264143,3158345,27.98,70139,10
353,8456,Education,1219145,3102712,18.2,94762,2
354,7485,Education,3012585,2608924,41.26,26649,1
355,3851,Business,2274082,2218121,20.3,30522,11
356,6843,Personal,1756280,3233261,26.02,13608,0
357,2792,Personal,851464,433827,47.52,23982,10
358,528,Personal,2179196,1537141,26.61,73264,3
359,873,Personal,1493867,1176363,39.83,73627,11
360,6859,Personal,1133795,2821162,38.14,20845,1
361,2826,Car,4922332,1542276,12.77,13489,2
362,3643,Business,1701596,1075678,26.94,28209,10
363,2613,Home,4463471,1675224,7.44,65556,7
364,7645,Home,4796842,2145610,11.58,51367,11
365,4099,Car,1053158,2663655,48.16,40852,1
366,7632,Personal,310772,2495226,8.38,13654,11
367,2921,Personal,2393519,2205571,48.05,81648,7
368,5704,Education,3422298,1741952,35.11,41739,0
369,9500,Home,3987875,1877841,43.27,98943,0
370,7064,Education,3218112,1384738,10.69,85654,2
371,4674,Home,2182888,3438511,19.32,22844,7
372,7430,Education,3279731,343078,41.83,71772,4
373,4883,Personal,3687485,1708741,39.28,87315,11
374,2706,Personal,321010,3362687,35.82,82501,2
375,62,Personal,3606785,3304388,14.88,15777,0
376,4568,Business,3728746,1244604,23.64,47994,7
377,7956,Education,2414337,2800721,23.54,69738,3
378,6712,Business,4238009,3733541,47.29,7681,2
379,2487,Business,911600,3979866,32.35,26727,4
380,1403,Education,2229971,2573221,17.11,7000,2
381,3202,Personal,4114961,1256169,25.61,33308,8
382,8327,Car,4567021,3093223,44.37,88746,9
383,35,Home,1496977,610524,36.09,51863,6
384,5415,Education,2941959,1631222,30.47,83732,5
385,656,Personal,310828,1656174,27.03,39803,10
386,8590,Business,2310213,190159,25.35,39856,1
387,5408,Personal,4872525,694012,22.66,53275,9
388,1460,Education,724215,3930959,44.55,3841,7
389,5959,Education,2986391,138856,1.93,81167,6
390,9303,Home,496145,1725250,15.18,14398,2
391,7113,Home,2817634,3651527,35.45,65107,0
392,3685,Education,4363031,1459739,43.81,28120,9
393,9632,Home,1235775,1334039,48.42,46616,9
394,7805,Business,2896396,407988,47.57,84696,10
395,7359,Personal,3178556,861963,18.8,48444,0
396,3042,Car,3458351,2516288,43.79,53762,5
397,3217,Personal,4173141,713751,27.42,49410,3
398,7941,Personal,2014241,3420493,18.57,84886,5
399,8590,Education,3005050,1619885,45.33,64327,11
400,8563,Car,2398996,678954,30.39,67596,4
401,483,Home,832379,3627553,38.46,27217,10
402,703,Home,4854735,3852538,12.58,43657,9
403,1536,Personal,2244511,2641244,19.79,61876,8
404,8977,Education,1981010,98174,2.43,97575,1
405,4356,Car,4099796,1960019,6.36,43254,11
406,7811,Education,3908384,773291,32.48,56758,8
407,2816,Car,4263709,2480761,11.09,2374,0
408,7903,Car,3822612,586115,20.78,84979,6
409,1084,Home,4001455,3355277,20.61,27730,5
410,2043,Personal,4998122,3391890,38.38,62585,2
411,846,Home,4840880,818770,28.35,22182,2
412,9772,Education,1769750,2399183,33.87,40623,4
413,5542,Home,304668,1930026,6.09,84657,10
414,8215,Personal,3794881,1496354,30.34,88242,1
415,458,Business,4995478,1986473,30.91,35819,0
416,8341,Home,2471541,297979,26.65,19134,6
417,5618,Education,2934839,2814070,5.06,51787,9
418,8752,Personal,3101491,765743,38.57,42339,8
419,3595,Education,4305059,3110657,27.23,34870,8
420,2957,Car,671974,1774987,27.11,45203,2
421,2767,Personal,4938111,2230876,42.48,27551,2
422,4787,Car,1756787,2902650,12.16,6642,5
423,5336,Personal,888701,291665,25.34,81437,11
424,3607,Business,1520723,2347154,37.01,50035,5
425,9714,Business,4412558,3141435,45.58,13173,11
426,2850,Personal,4221937,3702843,42.51,95634,3
427,707,Car,3012388,3661054,38.65,77718,3
428,5786,Car,175852,1085605,43.69,45503,10
429,2365,Education,1516582,2919575,13.39,60062,1
430,93,Personal,4554117,2944258,22.29,14312,3
431,524,Car,3779912,2776983,48.99,31318,4
432,5381,Personal,386829,2560676,0.75,9734,11
433,1340,Business,1730595,2874233,49.5,3855,3
434,819,Car,4145606,1601463,5.25,25152,10
435,9799,Car,2267276,3832965,45.52,76979,6
436,7983,Business,2829734,3606276,28.1,74398,5
437,5247,Education,779105,1974147,14.81,14892,4
438,3243,Personal,685483,3528921,47.51,31451,3
439,1020,Personal,1329335,1274096,30.18,42663,2
440,2010,Personal,4544938,2551144,44.42,3013,8
441,9635,Personal,3646560,165224,19.14,56470,11
442,7826,Home,2898964,3673482,32.71,67692,8
443,6084,Business,3467846,3507731,17.62,58699,9
444,4947,Education,3848760,3324250,49.59,23844,10
445,6342,Business,2410477,2687760,27.6,14081,0
446,4193,Personal,1454443,2720174,35.27,51071,2
447,4036,Home,1642863,574822,15.33,37090,6
448,2785,Home,4779124,2394493,38.5,2500,9
449,2052,Business,2431872,70341,21.58,19144,3
450,5845,Car,4638765,1996891,45.08,82280,8
451,2076,Education,3093553,1438607,27.31,39405,0
452,2112,Home,4360589,2127098,19.12,65159,4
453,7943,Personal,561723,2731852,41.22,97348,4
454,8776,Car,2622703,308325,30.14,70766,7
455,7523,Education,2868235,793301,39.26,94822,8
456,9356,Personal,2906356,1664588,35.07,21337,5
457,8019,Business,4445051,2244793,23.69,43078,2
458,9386,Home,4350129,2222189,32.86,57865,2
459,5364,Business,2927970,1307746,37.9,2647,6
460,7590,Car,274126,2126179,34.89,7039,6
461,3346,Home,3533512,3148592,16.11,66051,8
462,1820,Personal,701005,236502,19.75,97237,11
463,5824,Car,4701031,3378499,47.58,61457,1
464,5926,Education,1902778,2218829,15.49,94215,10
465,4192,Personal,2506642,1115281,40.62,59315,6
466,5691,Education,1987600,3082028,9.29,51166,3
467,3934,Home,1058201,1013159,19.6,83316,8
468,2646,Education,1153145,3590990,16.91,46056,3
469,1586,Home,240894,-9578,30.78,95365,8
470,9925,Education,4899151,19289,46.42,23305,5
471,6123,Business,737944,1712289,36.14,11934,6
472,6855,Business,1768176,686811,7.49,53975,3
473,2835,Car,2603527,1195738,36.13,13977,5
474,6892,Education,4676133,1805158,0.95,68683,6
475,670,Home,609692,2166797,33.18,42335,2
476,840,Personal,1699329,2120031,43.92,82854,0
477,7069,Home,3080310,218582,18.25,50353,0
478,5100,Business,4750133,1920893,35.88,87250,2
479,2045,Personal,4691578,3102994,31.61,45265,6
480,8849,Education,3508938,1184292,4.62,99309,9
481,8376,Business,4509825,1895975,15.5,79852,4
482,3086,Education,3339246,2362636,34.09,66703,2
483,5904,Business,158410,405655,1.44,46859,2
484,9919,Education,3599674,583216,27.44,94552,8
485,3602,Business,4263436,2509732,27.27,54002,11
486,1381,Car,670976,2873956,39.07,2367,4
487,3807,Home,3156511,82002,48.85,10891,8
488,5361,Home,3178400,96431,2.47,94609,9
489,7720,Education,99497,1430020,4.61,35298,10
490,9545,Education,1987517,676160,15.38,56538,7
491,9966,Personal,449109,1659371,28.73,90919,0
492,7089,Personal,2012213,1156861,0.96,15041,5
493,1510,Home,295906,3678969,14.56,10463,5
494,1863,Home,4156131,473657,6.0,11759,4
495,152,Car,4800017,2923504,31.36,50308,3
496,1508,Education,511213,1654011,35.66,44343,2
497,6427,Education,3820941,42174,1.1,85641,3
498,7467,Home,3125375,825982,46.77,85579,5
499,2698,Education,4315569,921753,36.84,52439,10
500,767,Personal,3256542,2589264,16.48,84347,3
501,2420,Education,3582345,-7115,36.11,44098,2
502,6077,Personal,4000808,3344653,22.78,69359,5
503,3862,Business,4714797,1637733,33.91,21843,9
504,7478,Education,431878,3940107,21.1,42140,2
505,9606,Business,710175,1074702,22.1,28967,2
506,3378,Home,1486406,602624,9.44,73089,2
507,9004,Education,3043062,3498448,43.36,70869,2
508,9414,Car,2152825,3170500,45.65,66852,5
509,1526,Car,3185490,1867809,19.95,8302,1
510,1571,Business,2237850,147106,19.35,57211,9
511,9310,Car,3691758,2168134,7.91,84539,10
512,8958,Personal,3558870,933810,16.21,96777,2
513,4126,Home,1736825,3883680,40.1,27280,4
514,2490,Personal,4194999,1730123,20.82,98274,4
515,8762,Home,1629021,2184075,39.3,4177,2
516,5525,Car,2441666,3204032,42.72,27156,4
517,8046,Home,3247901,2670164,17.15,22003,0
518,1931,Personal,1905890,2040061,49.42,62880,5
519,1094,Business,4109206,2780863,29.73,95372,9
520,9939,Business,2865469,2181960,16.8,38875,11
521,8992,Education,1294411,124914,5.76,24613,2
522,8091,Personal,3347690,810420,15.99,35772,7
523,7342,Personal,572027,51637,7.43,74408,9
524,5645,Business,2648304,1833038,38.32,77876,1
525,9649,Car,3893528,2122470,13.09,20461,11
526,4467,Business,4740957,287283,17.25,19864,11
527,6610,Education,1574145,1078118,15.94,25472,0
528,1513,Education,4697880,3969202,30.13,79266,8
529,3582,Personal,2328634,1638955,17.7,55550,0
530,2010,Personal,2968506,1823283,7.19,54921,11
531,7339,Education,2264688,2950102,31.29,99030,5
532,3791,Personal,4756022,2820434,25.38,95787,2
533,2406,Home,227930,2734055,37.92,73385,9
534,7017,Education,685200,2802538,12.78,94262,8
535,961,Education,2989338,1687195,43.08,56361,4
536,9166,Personal,3522985,893753,19.09,66486,11
537,6067,Home,2470897,3999398,31.16,97633,5
538,1014,Education,2319503,37812,49.56,59937,1
539,9691,Home,537516,2657085,34.49,75023,6
540,4256,Education,4827337,2183185,25.85,27296,4
541,6725,Home,2265906,2660198,13.47,20969,10
542,2617,Business,4870114,3044593,19.94,12337,6
543,8894,Education,368654,3289837,4.36,28797,0
544,2144,Home,1182327,2447678,12.59,84404,8
545,7839,Business,1091449,1922577,17.0,71109,3
546,8902,Personal,4318543,1236339,42.02,92722,2
547,2101,Car,857467,2633561,4.63,81752,6
548,5432,Home,289021,3585659,20.5,94047,3
549,7391,Business,4015779,2379132,25.59,80771,7
550,2860,Education,1365470,648563,47.88,55972,11
551,6151,Business,1813728,942862,18.75,3018,8
552,8116,Car,382083,1971867,49.01,82336,11
553,7665,Car,154259,3938855,24.9,15759,8
554,2813,Car,795862,1447925,35.55,14493,1
555,4703,Personal,3623650,2045622,4.61,72716,8
556,5933,Home,331781,2144193,34.41,16131,11
557,681,Education,685467,314849,4.87,7860,5
558,5256,Home,109773,3955029,26.71,26532,11
559,7914,Home,1286996,3190733,16.76,24638,3
560,169,Personal,3973928,3753221,16.11,77362,0
561,8694,Education,154851,1878077,4.19,94169,2
562,5735,Personal,4220996,1455699,34.52,19564,9
